"index","collection","packageId","granuleId","title","detailsLink","pdfLink","htmlLink","xmlLink","otherLink1","otherLink2","teaser","historical","publishdate"
"11","Congressional Hearings","CHRG-118hhrg56991","CHRG-118hhrg56991","The Future of Freedom in Nigeria","https://www.govinfo.gov/app/details/CHRG-118hhrg56991/CHRG-118hhrg56991","https://www.govinfo.gov/content/pkg/CHRG-118hhrg56991/pdf/CHRG-118hhrg56991.pdf","https://www.govinfo.gov/content/pkg/CHRG-118hhrg56991/html/CHRG-118hhrg56991.htm","","",""," CONGRESS SECOND SESSION FEBRUARY 14, 2024 Serial No. 118-84 Printed for the use of the Committee on Foreign Affairs [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Available: http://www.foreignaffairs.house.gov/, http://docs.house.gov, or http://www.govinfo.gov U.S. GOVERNMENT PUBLISHING OFFICE 56-991PDF WASHINGTON : 2024 COMMITTEE ON FOREIGN ...","","2024-02-14"
"12","Congressional Hearings","CHRG-118hhrg52144","CHRG-118hhrg52144","Exposing Putin's Crimes: Evidence of Russian War Crimes and Other Atrocities in Ukraine","https://www.govinfo.gov/app/details/CHRG-118hhrg52144/CHRG-118hhrg52144","https://www.govinfo.gov/content/pkg/CHRG-118hhrg52144/pdf/CHRG-118hhrg52144.pdf","https://www.govinfo.gov/content/pkg/CHRG-118hhrg52144/html/CHRG-118hhrg52144.htm","","",""," ONE HUNDRED EIGHTEENTH CONGRESS FIRST SESSION APRIL 19, 2023 Serial No. 118-20 Printed for the use of the Committee on Foreign Affairs [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Available: http://www.foreignaffairs.house.gov/, http:// docs.house.gov, or http://www.govinfo.gov U.S. GOVERNMENT PUBLISHING OFFICE 52-144 WASHINGTON : 2023 ...","","2023-04-19"
"13","Congressional Hearings","CHRG-118hhrg52241","CHRG-118hhrg52241","The State of American Diplomacy in 2023: Growing Conflicts, Budget Challenges, and Great Power Competition","https://www.govinfo.gov/app/details/CHRG-118hhrg52241/CHRG-118hhrg52241","https://www.govinfo.gov/content/pkg/CHRG-118hhrg52241/pdf/CHRG-118hhrg52241.pdf","https://www.govinfo.gov/content/pkg/CHRG-118hhrg52241/html/CHRG-118hhrg52241.htm","","",""," HOUSE OF REPRESENTATIVES ONE HUNDRED EIGHTEENTH CONGRESS FIRST SESSION March 23, 2023 Serial No. 118-6 Printed for the use of the Committee on Foreign Affairs [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Available: http://www.foreignaffairs.house.gov/, http:// docs.house.gov, or http://www.govinfo.gov U.S. GOVERNMENT PUBLISHING OFFICE 52-241 PDF ...","","2023-03-23"
"14","Congressional Hearings","CHRG-118hhrg54164","CHRG-118hhrg54164","Markup of Various Measures","https://www.govinfo.gov/app/details/CHRG-118hhrg54164/CHRG-118hhrg54164","https://www.govinfo.gov/content/pkg/CHRG-118hhrg54164/pdf/CHRG-118hhrg54164.pdf","https://www.govinfo.gov/content/pkg/CHRG-118hhrg54164/html/CHRG-118hhrg54164.htm","","",""," 7, 2023 Serial No. 118-58 Printed for the use of the Committee on Foreign Affairs [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Available: http://www.foreignaffairs.house.gov/, http:// docs.house.gov, or http://www.govinfo.gov U.S. GOVERNMENT PUBLISHING OFFICE 54-164 PDF WASHINGTON : 2023 COMMITTEE ON FOREIGN AFFAIRS MICHAEL T. McCAUL, Texas, ...","","2023-11-07"
"15","Congressional Hearings","CHRG-118hhrg52788","CHRG-118hhrg52788","Markup of Various Measures","https://www.govinfo.gov/app/details/CHRG-118hhrg52788/CHRG-118hhrg52788","https://www.govinfo.gov/content/pkg/CHRG-118hhrg52788/pdf/CHRG-118hhrg52788.pdf","https://www.govinfo.gov/content/pkg/CHRG-118hhrg52788/html/CHRG-118hhrg52788.htm","","","",", 2023 Serial No. 118-34 Printed for the use of the Committee on Foreign Affairs [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Available: http://www.foreignaffairs.house.gov/, http:// docs.house.gov, or http://www.govinfo.gov U.S. GOVERNMENT PUBLISHING OFFICE 52-788PDF WASHINGTON : 2023 COMMITTEE ON FOREIGN AFFAIRS MICHAEL T. MCCAUL, Texas, Chairman ...","","2023-06-21"
"16","Congressional Hearings","CHRG-118hhrg53078","CHRG-118hhrg53078","Examining the Fiscal Year 2024 State and Foreign Operations Budget Request for Europe","https://www.govinfo.gov/app/details/CHRG-118hhrg53078/CHRG-118hhrg53078","https://www.govinfo.gov/content/pkg/CHRG-118hhrg53078/pdf/CHRG-118hhrg53078.pdf","https://www.govinfo.gov/content/pkg/CHRG-118hhrg53078/html/CHRG-118hhrg53078.htm","","",""," AFFAIRS HOUSE OF REPRESENTATIVES ONE HUNDRED EIGHTEENTH CONGRESS FIRST SESSION MAY 23, 2023 Serial No. 118-29 Printed for the use of the Committee on Foreign Affairs [GRAPHIC(S) NOT AVAILABLE IN TIFF FORMAT] Available: http://www.foreignaffairs.house.gov/, http:// docs.house.gov, or http://www.govinfo.gov ______ U.S. GOVERNMENT PUBLISHING ...","","2023-05-23"
"17","Congressional Hearings","CHRG-118hhrg53405","CHRG-118hhrg53405","The State Department's Climate Agenda: A Budget Overview by the Special Presidential Envoy for Climate","https://www.govinfo.gov/app/details/CHRG-118hhrg53405/CHRG-118hhrg53405","https://www.govinfo.gov/content/pkg/CHRG-118hhrg53405/pdf/CHRG-118hhrg53405.pdf","https://www.govinfo.gov/content/pkg/CHRG-118hhrg53405/html/CHRG-118hhrg53405.htm","","",""," ACCOUNTABILITY OF THE COMMITTEE ON FOREIGN AFFAIRS HOUSE OF REPRESENTATIVES ONE HUNDRED EIGHTEENTH CONGRESS FIRST SESSION July 13, 2023 Serial No. 118-45 Printed for the use of the Committee on Foreign Affairs [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Available: http://www.foreignaffairs.house.gov/, http://docs.house.gov, or http://www.govinfo.gov ...","","2023-07-13"
"18","Congressional Hearings","CHRG-118hhrg51555","CHRG-118hhrg51555","Markup Of: H. Res. 158, Resolution of Inquiry Requesting the President and Directing the Secretary of Defense and Secretary of State to Transmit, Respectively, Certain Documents to the House of Representatives Relating to Congressionally Appropriated Funds to the Nation of Ukraine from January 20, 2021 To","https://www.govinfo.gov/app/details/CHRG-118hhrg51555/CHRG-118hhrg51555","https://www.govinfo.gov/content/pkg/CHRG-118hhrg51555/pdf/CHRG-118hhrg51555.pdf","https://www.govinfo.gov/content/pkg/CHRG-118hhrg51555/html/CHRG-118hhrg51555.htm","","","",", 2023 Serial No. 118-7 Printed for the use of the Committee on Foreign Affairs [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Available: http://www.foreignaffairs.house.gov/, http:// docs.house.gov, or http://www.govinfo.gov U.S. GOVERNMENT PUBLISHING OFFICE 51-555PDF WASHINGTON : 2024 COMMITTEE ON FOREIGN AFFAIRS MICHAEL T. McCAUL, Texas, Chairman ...","","2023-03-24"
"19","Congressional Hearings","CHRG-118hhrg54165","CHRG-118hhrg54165","Member Day","https://www.govinfo.gov/app/details/CHRG-118hhrg54165/CHRG-118hhrg54165","https://www.govinfo.gov/content/pkg/CHRG-118hhrg54165/pdf/CHRG-118hhrg54165.pdf","https://www.govinfo.gov/content/pkg/CHRG-118hhrg54165/html/CHRG-118hhrg54165.htm","","",""," No. 118-57 Printed for the use of the Committee on Foreign Affairs [GRAPHIC(S) NOT AVAILABLE IN TIFF FORMAT] Available: http://www.foreignaffairs.house.gov/, http:// docs.house.gov, or http://www.govinfo.gov ______ U.S. GOVERNMENT PUBLISHING OFFICE 54-165PDF WASHINGTON : 2024 COMMITTEE ON FOREIGN AFFAIRS MICHAEL T. McCAUL, Texas, Chairman ...","","2023-11-03"
"20","Congressional Hearings","CHRG-118hhrg56816","CHRG-118hhrg56816","Children Are Not for Sale--Global Efforts to Address Child Trafficking","https://www.govinfo.gov/app/details/CHRG-118hhrg56816/CHRG-118hhrg56816","https://www.govinfo.gov/content/pkg/CHRG-118hhrg56816/pdf/CHRG-118hhrg56816.pdf","https://www.govinfo.gov/content/pkg/CHRG-118hhrg56816/html/CHRG-118hhrg56816.htm","","",""," ORGANIZATIONS OF THE COMMITTEE ON FOREIGN AFFAIRS HOUSE OF REPRESENTATIVES ONE HUNDRED EIGHTEENTH CONGRESS FIRST SESSION SEPTEMBER 14, 2023 Serial No. 118-116 Printed for the use of the Committee on Foreign Affairs [GRAPHIC(S) NOT AVAILABLE IN TIFF FORMAT] Available: http://www.foreignaffairs.house.gov/, http:// docs.house.gov, or http://...","","2023-09-14"
