"index","collection","packageId","granuleId","title","detailsLink","pdfLink","htmlLink","xmlLink","otherLink1","otherLink2","teaser","historical","publishdate"
"31","Congressional Hearings","CHRG-118hhrg56738","CHRG-118hhrg56738","Responding to Anti-Semitism and Anti-Israel Bias in the UN, Palestinian Authority, and Ngo Community","https://www.govinfo.gov/app/details/CHRG-118hhrg56738/CHRG-118hhrg56738","https://www.govinfo.gov/content/pkg/CHRG-118hhrg56738/pdf/CHRG-118hhrg56738.pdf","https://www.govinfo.gov/content/pkg/CHRG-118hhrg56738/html/CHRG-118hhrg56738.htm","","","",", GLOBAL HUMAN RIGHTS, AND INTERNATIONAL ORGANIZATIONS OF THE COMMITTEE ON FOREIGN AFFAIRS HOUSE OF REPRESENTATIVES ONE HUNDRED EIGHTEENTH CONGRESS FIRST SESSION JUNE 22, 2023 Serial No. 118-36 Printed for the use of the Committee on Foreign Affairs [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Available: http://www.foreignaffairs.house.gov/, http://...","","2023-06-22"
"32","Congressional Hearings","CHRG-118hhrg51383","CHRG-118hhrg51383","Expanding the Abraham Accords","https://www.govinfo.gov/app/details/CHRG-118hhrg51383/CHRG-118hhrg51383","https://www.govinfo.gov/content/pkg/CHRG-118hhrg51383/pdf/CHRG-118hhrg51383.pdf","https://www.govinfo.gov/content/pkg/CHRG-118hhrg51383/html/CHRG-118hhrg51383.htm","","",""," REPRESENTATIVES ONE HUNDRED EIGHTEENTH CONGRESS FIRST SESSION MARCH 9, 2023 Serial No. 118-4 Printed for the use of the Committee on Foreign Affairs [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Available: http://www.foreignaffairs.house.gov/, http:// docs.house.gov, or http://www.govinfo.gov U.S. GOVERNMENT PUBLISHING OFFICE 51-383 PDF WASHINGTON : ...","","2023-03-09"
"33","Congressional Hearings","CHRG-118hhrg52143","CHRG-118hhrg52143","Great Power Competition in Africa: The Chinese Communist Party","https://www.govinfo.gov/app/details/CHRG-118hhrg52143/CHRG-118hhrg52143","https://www.govinfo.gov/content/pkg/CHRG-118hhrg52143/pdf/CHRG-118hhrg52143.pdf","https://www.govinfo.gov/content/pkg/CHRG-118hhrg52143/html/CHRG-118hhrg52143.htm","","",""," REPRESENTATIVES ONE HUNDRED EIGHTEENTH CONGRESS FIRST SESSION APRIL 18, 2023 Serial No. 118-19 Printed for the use of the Committee on Foreign Affairs [GRAPHIC(S) NOT AVAILABLE IN TIFF FORMAT] Available: http://www.foreignaffairs.house.gov/, http://docs.house.gov, ______ U.S. GOVERNMENT PUBLISHING OFFICE 52-143PDF WASHINGTON : 2023 or http://...","","2023-04-18"
"34","Congressional Hearings","CHRG-118hhrg56989","CHRG-118hhrg56989","Unrwa Exposed: Examining the Agency's Mission and Failures","https://www.govinfo.gov/app/details/CHRG-118hhrg56989/CHRG-118hhrg56989","https://www.govinfo.gov/content/pkg/CHRG-118hhrg56989/pdf/CHRG-118hhrg56989.pdf","https://www.govinfo.gov/content/pkg/CHRG-118hhrg56989/html/CHRG-118hhrg56989.htm","","","","GLOBAL HEALTH, GLOBAL HUMAN RIGHTS, AND INTERNATIONAL ORGANIZATIONS OF THE COMMITTEE ON FOREIGN AFFAIRS HOUSE OF REPRESENTATIVES ONE HUNDRED EIGHTEENTH CONGRESS SECOND SESSION January 30, 2024 Serial No. 118-78 Printed for the use of the Committee on Foreign Affairs [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Available: http://...","","2024-01-30"
"35","Congressional Hearings","CHRG-118hhrg54881","CHRG-118hhrg54881","The U.S. Border Crisis and the American Solution to an International Problem","https://www.govinfo.gov/app/details/CHRG-118hhrg54881/CHRG-118hhrg54881","https://www.govinfo.gov/content/pkg/CHRG-118hhrg54881/pdf/CHRG-118hhrg54881.pdf","https://www.govinfo.gov/content/pkg/CHRG-118hhrg54881/html/CHRG-118hhrg54881.htm","","",""," ONE HUNDRED EIGHTEENTH CONGRESS FIRST SESSION November 30, 2023 Serial No. 118-66 Printed for the use of the Committee on Foreign Affairs [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Available: http://www.foreignaffairs.house.gov/, http:// docs.house.gov, or http://www.govinfo.gov U.S. GOVERNMENT PUBLISHING OFFICE 54-881 PDF WASHINGTON : 2024 COMMITTEE ...","","2023-11-30"
"36","Congressional Hearings","CHRG-118hhrg53071","CHRG-118hhrg53071","Implementation of the Trafficking Victims Protection Act","https://www.govinfo.gov/app/details/CHRG-118hhrg53071/CHRG-118hhrg53071","https://www.govinfo.gov/content/pkg/CHRG-118hhrg53071/pdf/CHRG-118hhrg53071.pdf","https://www.govinfo.gov/content/pkg/CHRG-118hhrg53071/html/CHRG-118hhrg53071.htm","","",""," ON FOREIGN AFFAIRS HOUSE OF REPRESENTATIVES ONE HUNDRED EIGHTEENTH CONGRESS FIRST SESSION May 12, 2023 Serial No. 118-16 Printed for the use of the Committee on Foreign Affairs [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Available: http://www.foreignaffairs.house.gov/, http://docs.house.gov, or http://www.govinfo.gov ______ U.S. GOVERNMENT ...","","2023-05-12"
"37","Congressional Hearings","CHRG-118hhrg52399","CHRG-118hhrg52399","Oversight, Transparency, and Accountability of Ukraine Assistance","https://www.govinfo.gov/app/details/CHRG-118hhrg52399/CHRG-118hhrg52399","https://www.govinfo.gov/content/pkg/CHRG-118hhrg52399/pdf/CHRG-118hhrg52399.pdf","https://www.govinfo.gov/content/pkg/CHRG-118hhrg52399/html/CHRG-118hhrg52399.htm","","",""," EIGHTEENTH CONGRESS FIRST SESSION March 29, 2023 Serial No. 118-11 Printed for the use of the Committee on Foreign Affairs [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Available: http://www.foreignaffairs.house.gov/, http:// docs.house.gov, or http://www.govinfo.gov U.S. GOVERNMENT PUBLISHING OFFICE 52-399 PDF WASHINGTON : 2023 COMMITTEE ON FOREIGN ...","","2023-03-29"
"38","Congressional Hearings","CHRG-118hhrg51645","CHRG-118hhrg51645","Examining U.S. Sanctions Policy, Implementation, and Enforcement","https://www.govinfo.gov/app/details/CHRG-118hhrg51645/CHRG-118hhrg51645","https://www.govinfo.gov/content/pkg/CHRG-118hhrg51645/pdf/CHRG-118hhrg51645.pdf","https://www.govinfo.gov/content/pkg/CHRG-118hhrg51645/html/CHRG-118hhrg51645.htm","","","","FOREIGN AFFAIRS HOUSE OF REPRESENTATIVES ONE HUNDRED EIGHTEENTH CONGRESS FIRST SESSION March 29, 2023 Serial No. 118-15 Printed for the use of the Committee on Foreign Affairs [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Available: http://www.foreignaffairs.house.gov/, http://docs.house.gov, or http://www.govinfo.gov U.S. GOVERNMENT PUBLISHING OFFICE 51-...","","2023-03-29"
"39","Congressional Hearings","CHRG-118hhrg51256","CHRG-118hhrg51256","Combating the Generational Challenge of CCP Aggression","https://www.govinfo.gov/app/details/CHRG-118hhrg51256/CHRG-118hhrg51256","https://www.govinfo.gov/content/pkg/CHRG-118hhrg51256/pdf/CHRG-118hhrg51256.pdf","https://www.govinfo.gov/content/pkg/CHRG-118hhrg51256/html/CHRG-118hhrg51256.htm","","",""," CONGRESS FIRST SESSION FEBRUARY 28, 2023 Serial No. 118-2 Printed for the use of the Committee on Foreign Affairs [GRAPHIC NOT AVAILABLE IN TIFF FORMAT] Available: http://www.foreignaffairs.house.gov/, http:// docs.house.gov, or http://www.govinfo.gov U.S. GOVERNMENT PUBLISHING OFFICE 51-256PDF WASHINGTON : 2023 COMMITTEE ON FOREIGN AFFAIRS ...","","2023-02-28"

"Search Terms","118th Congress Congressional Hearings in Committee on Foreign Affairs"
"Total Count","39"
